job title,company name,location,timetype_Skills
Call Center Agent,OPPO Egypt  -,"Nasr City, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Customer Service/Support · Call Center · Customer Care · Customer Service · Customer Support · Microsoft Office · English
,,,
Call Center Agent,Areeba Egypt -,"New Cairo, Cairo, Egypt ",Full TimeShift BasedExperienced · 1 - 3 Yrs of Exp · Customer Service/Support · Call Center · Call center agent · Customer Support · Customer Service · Customer Care · Agent
,,,
Customer Service Assistant - Call Center,Al Futtaim Group Aggregated -,"Cairo, Egypt ",Full TimeNot specified · Administration · Customer Service/Support · Sales/Retail · Customer Service · Customer Support · Customer Care · Call Center · Microsoft Office · Communication Skills · Sales
,,,
"Call Center Advisor (English Queue) at Etisalat UAE Project, Corporate Account",Etisalat Egypt -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 0 - 15 Yrs of Exp · Banking · Customer Service/Support · Sales/Retail · Computer Skills · chat · Customer Care · Customer Service · Customer Support · Mail · English
,,,
Technical Advisor(call center),Concentrix + Webhelp -,"Cairo, Egypt ",Full TimeEntry Level · Customer Service/Support · Customer Service · Customer Support · Technical Support
,,,
Call Center Agent Males ONLY,Talaat Moustafa Group -,"Madinaty, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Customer Service/Support · Call Center · Communication · Customer Care · Customer Service · Communication skills · Customer Support · real-estate
,,,
Call Center Agent,Sky Distribution -,"Maadi, Cairo, Egypt ",InternshipEntry Level · Customer Service/Support · Call Center · Customer Care · Customer Service · English · Customer Support · Problem Solving
,,,
"Call Center Advisor for A corporate account (English Department), Etisalat UAE Project",Etisalat Egypt -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 0 - 15 Yrs of Exp · Banking · Customer Service/Support · Sales/Retail · Computer Skills · chat · Customer Care · Customer Service · Customer Support · Mail · English
,,,
English Call Center Agents(Services Company in UAE )..,Majorel Egypt -,"Katameya, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Administration · Customer Service/Support · Customer support · Customer service · Customer Care · English · Call Center · Sales · c1 · UAE
,,,
Call center Team leader,Confidential -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · Customer Service/Support · Customer Satisfaction · team leader · Skills · Call Center · Customer Care · Customer Service · Communication · Leadership
,,,
Telesales Representative Call Center,Concentrix + Webhelp -,"New Cairo, Cairo, Egypt ",Full TimeShift BasedEntry Level · Customer Service/Support · Sales/Retail · Customer Service · English · Sales · sales skills · Telesales
,,,
Call Center Agent,Royal Lab -,"Heliopolis, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Customer Service/Support · Call Center · Customer Service · Customer Care · Customer Support
,,,
English Call Center Agents(Services Companyin UAE ).,Majorel Egypt -,"Katameya, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Administration · Customer Service/Support · Customer support · Customer service · Customer Care · English · Call Center · Sales · c1 · UAE
,,,
Call Center Agent,Noxus  Solutions -,"Cairo, Egypt ",Full TimeWork From HomeStudent · Customer Service/Support · Operations/Management · Sales/Retail · Call Center · Customer Care · Agent · Call center agent · Customer Service · Customer Support · cold caller
,,,
Call Center Representative,Selah ElTelmeez For Publishing & printing -,"Obour City, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Customer Service/Support · Customer Service · Customer Care · Customer Support · Call Center · Customer · Communication · Service · MS Office · MS
,,,
French call center Agent,Sykes Enterprises -,"Cairo, Egypt ",Full TimeEntry Level · 0 - 5 Yrs of Exp · Sales/Retail · Communication · Call Center · Customer · Customer Service · English
,,,
WFH Call Center Advisor - VOIS UK - Cairo\Giza Residents,_VOIS Egypt -,"6th of October, Giza, Egypt ",Full TimeShift BasedWork From HomeEntry Level · 0 - 1 Yrs of Exp · Customer Service/Support · Operations/Management · Sales/Retail · Call Center · Customer Service · Customer Care · Customer Support · English · Fluent in English · Communication skills
,,,
WFH Call Center Advisor _VOIS Uk Alexandria Residents,_VOIS Egypt -,"Alexandria, Egypt ",Full TimeShift BasedWork From HomeEntry Level · 0 - 1 Yrs of Exp · Customer Service/Support · Operations/Management · Sales/Retail · Call Center · Customer Service · Customer Care · Customer Support · English · Fluent in English · Communication skills
,,,
Call Center Manager,Nola Bakery -,"New Cairo, Cairo, Egypt ",Full TimeManager · 5 - 7 Yrs of Exp · Customer Service/Support · Operations/Management · Call Center Manager · Customer Service · Customer Support · Customer Care · Call Center · Manager
,,,
Call Center Agent - GoCozmo- Mohandessin - Jizah,Air Arabia -,"Mohandessin, Giza, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Customer Service/Support · Call Center · Communication · Customer Service · Customer Care · Communication skills · Customer Support
,,,
Call Center Agent,Berlitz Egypt -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 1+ Yrs of Exp · Customer Service/Support · Sales/Retail · Customer Service · Customer Care · Customer Support · Call Center · Sales · Sales Skills · Microsoft Excel · Microsoft Office
,,,
Italian call Center Agent,The hires lab -,"Cairo, Egypt ",Full TimeEntry Level · 0 - 10 Yrs of Exp · Customer Service/Support · Call Center · Customer Support · Customer Service · Agent · Customer Care · italian call center agent · italian
,,,
English Call Center Agent,Confidential -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 0 - 1 Yrs of Exp · Customer Service/Support · Call Center · Communication · Communication skills · Customer · Customer Care · Customer Service · Customer Support · English
,,,
Call Center Agent,Elite -,"New Damietta, Damietta, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · Customer Service/Support · Call Center · Customer Service · Customer Care
,,,
Call Center Agent,Dawi Clinics -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 0 - 2 Yrs of Exp · Medical/Healthcare · Call Center · Medical · Customer Support · Customer Service · Customer Care
,,,
Call Center Agent (Launching Account),Sykes Enterprises -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 0 - 2 Yrs of Exp · Customer Service/Support · Hospitality/Hotels/Food Services · Sales/Retail · Customer Care · Customer Support · Communication skills · Sales
,,,
Call Center Auditor,Confidential -,"Giza, Egypt ",Full TimeEntry Level · 1+ Yrs of Exp · Customer Service/Support · Quality · Call Center · computer · Customer Service · English · Leadership · MS · Performance · quality
,,,
Fluent English / Call center agents are needed,Majorel Egypt -,"Katameya, Cairo, Egypt ",Full TimeEntry Level · Customer Service/Support · Call Center · Customer Service · English · Customer Care · Customer Support
,,,
Call Center Agent ( Junior Level / Fresh Grad),ariika -,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · 0 - 2 Yrs of Exp · Customer Service/Support · Customer Service · Customer Care · Customer Support · Call Center · Microsoft Office · Sales · Communication · Customer · Support
,,,
(Work from Home) Call Center Advisor - VOIS UK - Alexandria Residents,_VOIS Egypt -,"Smouha, Alexandria, Egypt ",Full TimeShift BasedWork From HomeEntry Level · 0 - 1 Yrs of Exp · Customer Service/Support · Operations/Management · Sales/Retail · Call Center · Customer Service · Customer Care · Customer Support · English · Fluent in English · Communication skills
,,,
Customer service/mail&chat (call center) Etisalat UAE,Etisalat Egypt -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 0 - 5 Yrs of Exp · Customer Service/Support · Customer Care · Customer Service · Customer Support · Call Center · Customer Relations · Customer Satisfaction · Customer Retention · Customer Service Management · Customer Experience
,,,
Call Center Agent,Orientals for Urban Development -,"Sheraton, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Customer Service/Support · Sales/Retail · Customer · Agent · Customer Care · Customer Support
,,,
Call Center Senior Recruiter- English Account,Options -,"Mohandessin, Giza, Egypt ",Full TimeManager · 5+ Yrs of Exp · Customer Service/Support · Human Resources · Sales/Retail · Recruitment · English · Human Resources (HR) · Administration · Admin · Microsoft Office · Assistant
,,,
Talent Acquisition Specialist (Call center),3D Diagnostix -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 1 - 3 Yrs of Exp · Administration · Human Resources · Operations/Management · English · Hiring · Human Resources (HR) · Interviewing · linkedin · Recruiter · Recruiting
,,,
Call Center Supervisor,Do Outsource -,"Sheikh Zayed, Giza, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Customer Service/Support · Human Resources · Operations/Management · Call Center · Communication · Leadership
,,,
Fluent English / Call center,Majorel Egypt -,"Katameya, Cairo, Egypt ",Full TimeEntry Level · Customer Service/Support · Call Center · Customer Service · English · Customer Care · Customer Support
,,,
Medical Call Center,Everlast -,"Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Customer Service/Support · Medical/Healthcare · Sales/Retail · Call Center · Customer · Customer Care · Customer Service · Customer Support · Medical Care
,,,
Italian Contact Center Team Leader (Italian Speaker- C1),Xceed Contact Center -,"6th of October, Giza, Egypt ",Full TimeExperienced · 1 - 3 Yrs of Exp · Customer Service/Support · Operations/Management · Call Center · Customer Service · Italian · Leadership skills · Customer Care · Communication · Leadership · team leader
,,,
Call Center Agent (English spearkers ),Enable -,"Abu Rawash, Giza, Egypt ",Full TimeEntry Level · Customer Service/Support · Customer Service · Call Center · English
,,,
Spanish Contact Center Team Leader (Spanish Speaker- C1),Xceed Contact Center -,"6th of October, Giza, Egypt ",Full TimeExperienced · 1 - 3 Yrs of Exp · Customer Service/Support · Call Center · Call Center Team Leader · Spanish Speaker · Spanish Lanaguage · Spanish Agent · Spanish Team Leader · Customer Service
,,,
German Contact Center Team Leader (German Speaker- C1),Xceed Contact Center -,"6th of October, Giza, Egypt ",Full TimeExperienced · 1 - 3 Yrs of Exp · Customer Service/Support · Operations/Management · german · Call Center · Communication · Customer Service · Customer Care · Customer Support · English · Leadership skills
,,,
Call Center Agent,New Star -,"Heliopolis, Cairo, Egypt ",Full TimeEntry Level · 0 - 2 Yrs of Exp · females_only · Customer Service/Support · Operations/Management · Sales/Retail · Customer · Customer Care · Customer Service · Customer Support · Call Center · Support
,,,
Quality Monitoring Analyst (GSM Call Center),Xceed Contact Center -,"Giza, Egypt ",Full TimeEntry Level · 0 - 1 Yrs of Exp · Customer Service/Support · Quality · Engineering - Telecom/Technology · quality · Analysis · Communication · English · Quality Monitoring · GSM · Call Center
,,,
Data Center Operations Internship - UAE National Only,Amazon Data Services Emirates LLC -,"Dubai, United Arab Emirates ",Full TimeNot specified · Customer Service/Support · IT/Software Development · Engineering - Telecom/Technology · information technology (it) · computer science · customer service · call center · operations · management · networking
,,,
"Area Manager, Fulfillment Center Operations",Amazon MENA -,"Cairo, Egypt ",Full TimeNot specified · Customer Service/Support · Operations/Management · Education/Teaching · Operations · Management · Call Center · Operations Management · Business Planning · Planning · Financial Management
,,,
Call Center Manager,Nouvel Age -,"Nasr City, Cairo, Egypt ",Full TimeManager · 5 - 7 Yrs of Exp · Customer Service/Support · Operations/Management · Customer Care · Customer Service · Leadership · Telesales · Customer Support · Call Center
,,,
French Call Center Agent - Remote after Training,Sutherland -,"Alexandria, Egypt ",Full TimeWork From HomeEntry Level · Customer Service/Support · Customer Care · Call Center · french · Customer Support · Customer Service · canada
,,,
Call Center Agent-Fixed shift,Confidential -,"Cairo, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · Customer Service/Support · Sales/Retail · Call Center · Customer Care · Customer Support · Customer Service
,,,
Guest Service Officer - Communications Center,Accor Hotels Aggregated -,"Dubai, United Arab Emirates ",Full TimeNot specified · Administration · Customer Service/Support · Hospitality/Hotels/Food Services · Customer Care · Customer Service · Customer Support · Microsoft Office · Administration · Communication Skills · Finance
,,,
Customer Service representative - call center agent (English Account) cairo,Etisalat Egypt -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 0 - 10 Yrs of Exp · Customer Service/Support · Customer Care · Customer Service · Customer Support · English · B2 · Service · cairo · egypt · call centre
,,,
Customer Service Agent - Inbound calls (Corporate - English Account),Etisalat Egypt -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 0 - 15 Yrs of Exp · Customer Service/Support · Sales/Retail · Customer Care · Customer Service · Customer Support · interpersonal · Transportation · Sales · Call Center · English Teaching
,,,
(Work from Home) Call Center Advisor _VOIS Uk Alexandria Residents,_VOIS Egypt -,"Alexandria, Egypt ",Full TimeShift BasedWork From HomeEntry Level · 0 - 1 Yrs of Exp · Customer Service/Support · Operations/Management · Sales/Retail · Call Center · Customer Service · Customer Care · Customer Support · English · Fluent in English · Communication skills
,,,
Call Center Team Leader,Mahgoub Group -,"Nasr City, Cairo, Egypt ",Full TimeManager · 3 - 5 Yrs of Exp · males_only · Customer Service/Support · Operations/Management · Customer Service · Call Center · Quality Control · Quality Assurance · Customer Care · Customer Support · Operations · Leadership
,,,
Call Center Agent,Nacita -,"6th of October, Giza, Egypt ",Full TimeExperienced · 1 - 4 Yrs of Exp · Customer Service/Support · Customer Support · Customer · Customer Care · Customer Service · Communication · Call Center · English · computer · Negotiation
,,,
Call Center Agents - Banque Misr,NOK for Human Capital Solutions -,"Cairo, Egypt ",Full TimeEntry Level · 0 - 3 Yrs of Exp · Customer Service/Support · Customer Service · Customer Care · Call Center · Customer Support · Banking · Banking Sector
,,,
Call Center Ambassador (English Account),Etisalat Egypt -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 0 - 3 Yrs of Exp · Customer Service/Support · Call Center · Customer Service · Customer Care · Customer Support · English
,,,
Call Center Agent - Betlone Consumer Finance,Beltone Financial  -,"Boulaq, Cairo, Egypt ",Full TimeEntry Level · 0 - 3 Yrs of Exp · Customer Service/Support · Operations/Management · Sales/Retail · Call Center · Customer Care · Customer Service · Customer Support · Communication · Customer · Service
,,,
Call center Agent Back office English Account Etisalat UAE,Etisalat Egypt -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · Customer Service/Support · Call Center · Customer Care · Customer Service · Customer Support · Customer Relations · Customs Clearance · Customer Satisfaction · Customer Operations Performance Centre · Customer Service Management
,,,
Call Center Agent,Confidential -,"Giza, Egypt ",Full TimeShift BasedWork From HomeExperienced · Customer Service/Support · Call Center · Agent · Customer Service · Customer Support · fluency · english speaker
,,,
Team Leader - Call Center,Raya Distribution -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 5 - 7 Yrs of Exp · Sales/Retail · Call Center · Outbound Calls · Inbound Calls
,,,
International Customer Support ( call center),Concentrix + Webhelp -,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Customer Service/Support · Customer Service · Customer Support · Customer Care · Call Center · English · Communication Skills · MS Office
,,,
Call Center Supervisor,Royal Lab -,"Heliopolis, Cairo, Egypt ",Full TimeManager · 3+ Yrs of Exp · Customer Service/Support · Call Center · Communication · Customer Care · Customer Service · Leadership · Customer Support · Contact Center · Management
,,,
Quality Assurance Specialist (Call Center),Fawry Microfinance  -,"Giza, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Quality · Quality Assurance · assurance · Quality Control · quality · Communication skills
,,,
Call Center Quality Control,LAZARO SCENT  -,"Smouha, Alexandria, Egypt ",Full TimePart TimeExperienced · 3 - 6 Yrs of Exp · Customer Service/Support · Operations/Management · Quality · Quality Control · Leadership · Quality · Quality Assurance · Reporting · Control · Management
,,,
Call Center Agent,The WaterWay Developments  -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 1 - 3 Yrs of Exp · Customer Service/Support · Communication · Call center agent · Customer Care · Customer Service · Call Center · Customer Support · English
,,,
Call Center Agent,Ostawat -,"Cairo, Egypt ",Full TimeEntry Level · 1 - 5 Yrs of Exp · Other · Customer Care · Call Center · Customer Service
,,,
Call Center Team Leader,Enable -,"Nasr City, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Customer Service/Support · Operations/Management · CRM · Call Center · Customer Care · Customer Service · Customer Support
,,,
Call Centre Enterprise Operations Manager,Options -,"Mohandessin, Giza, Egypt ",Full TimeSenior Management · 5 - 10 Yrs of Exp · Business Development · Customer Service/Support · Operations/Management · Account Management · account manager · Business Administration · Communication · CRM · Call Center · Management
,,,
Call Center Agent (Mail&Chat) English Account Etisalat UAE,Etisalat Egypt -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · Customer Service/Support · Operations/Management · Sales/Retail · business · Business Plan · Call Center · Customer Care · Customer Service · Customer Support · Medical
,,,
English Call Center Representatives,H Lab -,"Cairo, Egypt ",Full TimeExperienced · 1 - 8 Yrs of Exp · Customer Service/Support · c1 · c2 · English call center · rotational · shifts
,,,
Call Center Agent,Confidential -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 1 - 3 Yrs of Exp · Customer Service/Support · Call Center · Customer Service · Customer Support · Communication
,,,
Call Center Agent,Confidential -,"Cairo, Egypt ",Full TimeShift BasedEntry Level · 1+ Yrs of Exp · Customer Service/Support · Operations/Management · Sales/Retail · Call Center · Communication · Customer · Customer Care · Customer Support · English · Customer Service
,,,
Call Center Representative - Assuit,Orange Egypt -,"Assuit, Assiut, Egypt ",Full TimeEntry Level · 0 - 2 Yrs of Exp · Customer Service/Support · Call Center · Customer Service · Customer Care · Communication · Customer · Customer Support · Computer Skills · English · Computer
,,,
Call Center Agent English Account (Etisalat UAE)..,Etisalat Egypt -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · Banking · Customer Service/Support · Sales/Retail · Call Center · Customer Care · Customer Service · Customer Support · English · Skills · Business Administration
,,,
Contact Center Representative,Seoudi Supermarket -,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · 0 - 1 Yrs of Exp · Customer Service/Support · Operations/Management · Sales/Retail · Call Center · Customer Service · Customer Support · Customer Care · English
,,,
Customer Service Team Leader,LAZARO SCENT  -,"Smouha, Alexandria, Egypt ",Full TimeManager · 5 - 6 Yrs of Exp · Customer Service/Support · Sales/Retail · Customer Care · Call Center · Customer Service · Customer Support · English · Leader · Sales · TEAMS
,,,
VOIS - UK account - Customer Service Representative - WFH,_VOIS Egypt -,"Cairo, Egypt ",Full TimeShift BasedWork From HomeEntry Level · Customer Service/Support · Call Center · Customer Service · Customer Support · Customer Care · English · C1 · VOIS · Vodafone UK · Work From Home
,,,
SMB Account ( Customer Service - English Speakers ),Etisalat Egypt -,"Cairo, Egypt ",Full TimeEntry Level · 0 - 1 Yrs of Exp · Customer Service/Support · English · Benefits · excel · Excellent english · Excellent · is · Insurance · Microsoft Excel · Medical
,,,
Lead Generation Supervisor,Centro -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 1 - 1 Yrs of Exp · Customer Service/Support · Other · Lead Generation · lead generation supervisor · Call Center · CRM
,,,
"Small & Medium Business Account (Etisalat UAE), Fluent English Speakers",Etisalat Egypt -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · Administration · Customer Service/Support · Operations/Management · Computer Skills · chat · Customer Care · Customer Service · Customer Support · Mail · English
,,,
"Small & Medium Business Account (Etisalat UAE), Customer Service English department",Etisalat Egypt -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 0 - 15 Yrs of Exp · Customer Service/Support · Computer Skills · chat · Customer Care · Customer Service · Customer Support · Mail · English · Medical · Back office
,,,
"Etisalat UAE Customer Support, Small & Medium Business Account ( English)",Etisalat Egypt -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · Banking · Customer Service/Support · Sales/Retail · Call Center · Customer Care · Customer Support · Customer Service · Customer Relations · Customer Satisfaction · Customer Retention
,,,
"Small & Medium Business (Etisalat UAE), English Account Advisor, Maadi",Etisalat Egypt -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 0 - 15 Yrs of Exp · Customer Service/Support · Operations/Management · Computer Skills · chat · Customer Care · Customer Service · Customer Support · Mail · English · Medical
,,,
Telesales Agent (English Account ) Fixed Shift from 8 Am to 5 PM,Etisalat Egypt -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · Customer Service/Support · Sales/Retail · Customer Service · Sales · sales skills · Telesales · English · Call Center · Customer Care · Customer Support
,,,
Customer Service Representative / Vodafone Ireland- (WFH opportunity),_VOIS Egypt -,"Smart Village, Giza, Egypt ",Full TimeShift BasedWork From HomeEntry Level · 0 - 1 Yrs of Exp · Customer Service/Support · Customer Care · Customer Service · Customer Support · English · Fluency in English · Customer Relations · Call Center · Career Development · Contact Center
,,,
Customer Service Representative Vodafone UK - (Alexandria/Cairo/Remote),_VOIS Egypt -,"6th of October, Giza, Egypt ",Full TimeShift BasedWork From HomeEntry Level · 0 - 2 Yrs of Exp · Customer Service/Support · Customer Service · Customer Care · Customer Support · Call Center · Technical Support · Customer Satisfaction · Time Management · Career Development
,,,
Sales and Service Assistant,ITMAM -,"Abu Dhabi, United Arab Emirates ",Full TimeNot specified · Administration · Customer Service/Support · Sales/Retail · Sales · Sales Skills · Customer Service · Customer Support · Customer Care · Sales Target · Administration
,,,
Customer support Officer,ITMAM -,"Abu Dhabi, United Arab Emirates ",Full TimeNot specified · Customer Service/Support · IT/Software Development · Engineering - Telecom/Technology · Customer Service · Customer Support · Customer Care · Call Center · Microsoft Office · Sales · Communication Skills
,,,
Captain - Food & Beverage - Saudi National,Al Manakha Rotana -,"Medina, Saudi Arabia ",Full TimeNot specified · Customer Service/Support · Hospitality/Hotels/Food Services · Sales/Retail · Customer Care · Customer Service · Customer Support · Hospitality · Hotels · Tourism · Waiter
,,,
English Customer Service Representative - US Account,Sutherland -,"Cairo, Egypt ",Full TimeEntry Level · Customer Service/Support · Customer Care · Customer Service · Customer Support · English · Fluency in English · B2 · c1 · Technical Support · Call Center
,,,
Guest Services Supervisor,Hilton Aggregated -,"Dubai, United Arab Emirates ",Full TimeNot specified · Administration · Customer Service/Support · Operations/Management · Customer Service · Customer Support · Customer Care · Management · English · Administration · Communication Skills
,,,
Customer Service Representative _ WFH,Confidential -,"Cairo, Egypt ",Full TimeShift BasedWork From HomeEntry Level · 0 - 1 Yrs of Exp · Customer Service/Support · Sales/Retail · Call Center · Customer Service · Customer Care · Customer Support · English · Fluent in English · Communication skills · languages
,,,
English Customer Care Representative | USA,Sutherland -,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · Administration · Customer Service/Support · Sales/Retail · Customer Care · Customer Service · Customer Support · New Cairo · Sales · English · B2
,,,
Customer Support Representative - AT&T Retention,Sutherland -,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · Administration · Customer Service/Support · Sales/Retail · Customer Care · Customer Service · Customer Support · New Cairo · Sales · English · B2
,,,
Customer Support Representative - AT&T Technical Support,Sutherland -,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · Administration · Customer Service/Support · Sales/Retail · Customer Care · Customer Service · Customer Support · New Cairo · Sales · English · B2
,,,
Team Leader - Front Desk - Saudi National,Al Manakha Rotana -,"Medina, Saudi Arabia ",Full TimeNot specified · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology · Sales · Sales Skills · Information Technology (IT) · Sales Target · Computer Science · Customer Service · Real Estate
,,,
Booking and Reservation Agent For Hilton USA (English Speakers),Sutherland -,"Cairo, Egypt ",Full TimeEntry Level · 1+ Yrs of Exp · Customer Service/Support · Customer Care · Customer Service · Customer Support · Booking · Hilton · call center · English Fluency · Sutherland · Reservation
,,,
Captain,Riyadh Air -,"Riyadh, Saudi Arabia ",Full TimeNot specified · Customer Service/Support · Hospitality/Hotels/Food Services · Sales/Retail · Customer Care · Customer Service · Customer Support · Hospitality · Hotels · Tourism · Waiter
,,,
